type,prix,surface,nb_pieces,localisation,details
Appartement,130 000 €,14.54 m²,1 pièces,75018 PARIS,"Pont Caulaincourt / rue Damrémont - Au 7ème et dernier étage d'un bel immeuble en pierres et briques, studette de 14,54 m² comprenant une pièce de vie avec coin cuisine et une salle d'eau avec WC. Calme et lumineux."
Appartement,199 000 €,26.12 m²,2 pièces,75018 PARIS,"La chapelle / rue Marx Dormoy - Sur le bâtiment cour d'un immeuble ancien fraîchement ravalé, 2 pièces de 26,12 m² composé d'une entrée, un séjour, une chambre, une cuisine (possibilité US) et une salle d'eau avec WC. Calme et lumineux."
Appartement,180 000 €,12 m²,1 pièces,75008 PARIS,"Coup de coeur assuré pour ce magnifique studio situé entièrement rénové au dernier étage d'un très bel immeuble Haussmanien. Dans le quartier recherché de Monceau, au sein d'une copropriété bien entretenue avec gardien, et parties communes de standing, ce bien rare bénéficie d'un calme absolu et d'un aperçu Tour Eiffel depuis son Velux Accessible par un escalier de service, sans vis-à-vis, il offre un cadre de vie paisible en plein coeur de Paris."
Appartement,180 000 €,12 m²,1 pièces,75008 PARIS,"Coup de coeur assuré pour ce magnifique studio entièrement rénové au dernier étage d'un très bel immeuble Haussmanien. Dans le quartier recherché de Monceau, au sein d'une copropriété bien entretenue avec gardien, et parties communes de standing, ce bien rare bénéficie d'un calme absolu et d'un aperçu Tour Eiffel depuis son Velux Accessible par un escalier de service, sans vis-à-vis, il offre un cadre de vie paisible en plein coeur de Paris."
Appartement,465 000 €,38.02 m²,2 pièces,75017 PARIS,"En NOUVEAUTE et en EXCLUSIVITE Chez Stéphane Plaza Immobilier, Charmant 2 pièces idéalement situé. Au coeur d'un quartier recherché, à deux pas du métro Porte de Champerret et des commerces, découvrez ce bel appartement de 38 m² niché dans un immeuble bien entretenu avec ascenseur."
Appartement,242 000 €,31.54 m²,2 pièces,75018 PARIS,"Château Rouge / Panama - Au sein d'un bel immeuble ancien, venez visiter ce beau 2 pièces de 31,54 m². Situé au 4ème étage du bâtiment cour, cet appartement est composé d'une entrée, une pièce de vie avec cuisine ouverte et une salle d'eau avec WC."
Appartement,300 000 €,31.76 m²,2 pièces,75015 PARIS,"d'une entrée, une cuisine aménagée et équipée ouverte sur séjour, une chambre, une salle d'eau et WC. Une cave complète ce bien."
Appartement,125 000 €,14.15 m²,1 pièces,75018 PARIS,"Mairie du 18ème / rue Letort - Au sein d'un immeuble ancien bien tenu, niché au 2ème étage, studio de 14,15 m² comprenant un coin cuisine, une pièce de vie et une salle d'eau avec WC. Fonctionnel."
Appartement,2 480 000 €,162.12 m²,5 pièces,75008 PARIS,"A deux pas du Parc MONCEAU, au 4ème étage avec ascenseur d'un bel immeuble ancien, nous vous invitons à découvrir ce magnifique appartement fonctionnel de 162 m². Une entrée avec WC séparé, un beau séjour avec 3 grandes portes fenêtres donnant accès à un beau balcon filant exposé plein Sud, une cuisine dînatoire ouverte, un dégagement desservant une suite parentale sur cour avec dressing/salle d'eau et WC séparé, 3 chambres au calme sur cour, une salle de bains."
Appartement,473 000 €,46.47 m²,2 pièces,75011 PARIS,"Rue de Malte, entre le Canal Saint Martin et le haut Marais, dans une copropriété récente avec gardien à demeure, 2 pièces à rafraîchir avec une vue ensoleillée et aérée. Il est composé d'une entrée, d'une cuisine dinatoire, d'une salle de bain, d'un toilette, d'une pièce de vie très lumineuse et d'une chambre."
Appartement,599 000 €,69 m²,3 pièces,75018 PARIS,"Marx Dormoy/Philippe de Girard dans un immeuble récent de standing, agréable 3 pièces avec un beau balcon filant. Un séjour avec une cuisine US aménagée et équipée, un dégagement avec de nombreux rangements, deux chambres de bonne taille, une salle d'eau et un WC séparé."
