type,prix,prix_m2,surface,nb_pieces,localisation,details
Appartement,589 000 €,Soit 6 770€ /m2,87 m2,4 pièces,Paris 19- Flandre - Aubervilliers,"3 chambres, Balcon, Cave, Bon état, Ascenseur, Rez-de-chaussée"
Appartement,440 000 €,Soit 10 476€ /m2,42 m2,2 pièces,Paris 11- République - Parmentier,"1 chambre, Cave, Bon état, Rez-de-chaussée"
Appartement,699 500 €,Soit 6 637€ /m2,105 m2,8 pièces,Paris 10- Gare du Nord - Saint-Vincent de Paul,"7 chambres, Bon état, Rez-de-chaussée"
Appartement,279 500 €,Soit 9 273€ /m2,30 m2,2 pièces,Paris 20- Saint-Blaise,"1 chambre, Cave, Neuf, Etage : 3"
Appartement,67 500 €,Soit 10 547€ /m2,6 m2,2 pièces,Paris 9- Grands Boulevards,"1 chambre, À rafraîchir, Ascenseur, Etage : 5"
non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible
Appartement,130 000 €,Soit 9 286€ /m2,14 m2,1 pièce,Paris 10- Goncourt - Canal Saint-Martin,"Studio, À rafraîchir, Etage : 2"
Appartement,110 000 €,Soit 9 251€ /m2,12 m2,1 pièce,Paris 19- Buttes Chaumont - Jourdain,"Studio, Bon état, Etage : 1"
Appartement,525 000 €,Soit 8 688€ /m2,60 m2,3 pièces,Paris 10- Louis Blanc - Aqueduc,"2 chambres, Cave, À rénover, Ascenseur, Etage : 1"
Appartement,899 000 €,Soit 14 102€ /m2,64 m2,3 pièces,Paris 12- Nation - Picpus,"1 chambre, Cave, Neuf, Ascenseur, Etage : 5"
Appartement,630 000 €,Soit 10 032€ /m2,63 m2,3 pièces,Paris 10- Goncourt - Canal Saint-Martin,"2 chambres, Cave, Bon état, Etage : 4"
Appartement,130 000 €,Soit 8 997€ /m2,14 m2,1 pièce,Paris 20- Belleville,"Studio, À rafraîchir, Rez-de-chaussée"
Appartement,970 000 €,Soit 14 478€ /m2,67 m2,3 pièces,Paris 7- Ecole Militaire,"2 chambres, Cave, Bon état, Etage : 3"
Appartement,285 000 €,Soit 8 187€ /m2,35 m2,1 pièce,Paris 13- Butte-aux-Cailles,"Studio, Cave, À rafraîchir, Rez-de-chaussée"
Maison,672 000 €,Soit 9 619€ /m2,70 m2,2 pièces,Paris 20- Père Lachaise - Réunion,"1 chambre, Bon état, Surface du terrain : 10 m²"
Appartement,799 000 €,Soit 9 467€ /m2,84 m2,4 pièces,Paris 20- Père Lachaise - Réunion,"3 chambres, Balcon, Cave, Bon état, Exposition : Sud, Ascenseur"
Appartement,580 000 €,Soit 6 988€ /m2,83 m2,4 pièces,Paris 19- Flandre - Aubervilliers,"3 chambres, Terrasse, Cave, À rafraîchir, Ascenseur, Etage : 5"
Appartement,499 000 €,Soit 8 234€ /m2,61 m2,3 pièces,Paris 12- Porte de Charenton - Porte Dorée,"2 chambres, Balcon, Cave, À rafraîchir, Exposition : Sud, Garage"
Appartement,272 000 €,Soit 10 104€ /m2,27 m2,2 pièces,Paris 17- Pereire,"1 chambre, Bon état, Etage : 1"
Appartement,137 000 €,Soit 6 965€ /m2,20 m2,2 pièces,Paris 9- Rochechouart,"1 chambre, Bon état, Rez-de-chaussée"
