type,prix,prix_m2,surface,nb_pieces,localisation,details
Appartement,649 000 €,10 802 €/m²,"60,08 m²",3 pièces,Paris 10ème (75),"LES ENFANTS ROUGES MARAIS -24h 1/9 649 000 € 10 802 €/m² À partir de 2 891 €/mois Appartement 3 pièces 60,08 m² 1 chambre Paris 10ème (75) ... Contacter Descrip…"
Locaux professionnels,745 000 €,7 673 €/m²,"97,09 m²",non disponible,Paris 3ème (75),"LES ENFANTS ROUGES MARAIS Exclusivité -24h 1/7 745 000 € 7 673 €/m² À partir de 3 319 €/mois Locaux professionnels 97,09 m² Paris 3ème (75) ... Contacter Descri…"
Appartement,1 150 000 €,11 058 €/m²,104 m²,5 pièces,Paris 16ème (75),EMO REAL ESTATE 1/5 Coup de cœur du secteur 1 150 000 € 11 058 €/m² À partir de 5 123 €/mois Appartement 5 pièces 104 m² 3 chambres Paris 16ème (75) ... Contact…
Appartement,750 000 €,11 012 €/m²,"68,11 m²",3 pièces,Paris 3ème (75),"LES ENFANTS ROUGES MARAIS -24h 1/14 750 000 € 11 012 €/m² À partir de 3 341 €/mois Appartement 3 pièces 68,11 m² 2 chambres Paris 3ème (75) Voir sur Propriétés …"
Appartement neuf,1 040 000 €,12 150 €/m²,"85,6 m²",4 pièces,Paris 20ème (75),"DEMATHIEU BARD IMMOBILIER 1/8 1 040 000 € 12 150 €/m² À partir de 4 633 €/mois Appartement neuf 4 pièces 85,6 m² Paris 20ème (75) Voir sur Figaro Immoneuf Conta…"
Appartement,1 050 000 €,11 413 €/m²,92 m²,4 pièces,Paris 16ème (75),IAD FRANCE -24h 1/14 1 050 000 € 11 413 €/m² À partir de 4 678 €/mois Appartement 4 pièces 92 m² 3 chambres Paris 16ème (75) Contacter Description
Locaux professionnels,625 000 €,5 580 €/m²,112 m²,non disponible,Paris 11ème (75),IAD FRANCE Exclusivité -24h 1/14 Prix au m² le plus bas 625 000 € 5 580 €/m² À partir de 2 784 €/mois Locaux professionnels 112 m² Paris 11ème (75) Contacter De…
Appartement,348 000 €,6 824 €/m²,51 m²,3 pièces,Paris 19ème (75),IAD FRANCE Exclusivité -24h 1/9 348 000 € 6 824 €/m² À partir de 1 550 €/mois Appartement 3 pièces 51 m² 2 chambres Paris 19ème (75) Contacter Description
Appartement,499 000 €,12 297 €/m²,"40,58 m²",2 pièces,Paris 5ème (75),"Vaneau Marais Exclusivité -24h 1/11 499 000 € 12 297 €/m² À partir de 2 223 €/mois Appartement 2 pièces 40,58 m² Paris 5ème (75) Voir sur Propriétés Le Figaro C…"
Appartement neuf,1 350 000 €,12 593 €/m²,"107,2 m²",5 pièces,Paris 20ème (75),"DEMATHIEU BARD IMMOBILIER 1/8 1 350 000 € 12 593 €/m² À partir de 6 014 €/mois Appartement neuf 5 pièces 107,2 m² Paris 20ème (75) Voir sur Figaro Immoneuf Cont…"
Appartement,1 100 000 €,18 631 €/m²,"59,04 m²",3 pièces,Paris 7ème (75),"BARNES Pied-à-terre Bac-Varenne Exclusivité 1/21 1 100 000 € 18 631 €/m² À partir de 4 900 €/mois Appartement 3 pièces 59,04 m² 2 chambres Paris 7ème (75) Voir …"
Appartement,110 000 €,14 706 €/m²,"7,48 m²",1 pièces,Paris 17ème (75),"CASAVO MANAGEMENT FRANCE 1/13 110 000 € 14 706 €/m² À partir de 490 €/mois Appartement 1 pièce 7,48 m² Paris 17ème (75) Contacter Description"
Appartement,1 100 000 €,11 471 €/m²,"95,89 m²",4 pièces,Paris 15ème (75),"CASAVO MANAGEMENT FRANCE 1/21 1 100 000 € 11 471 €/m² À partir de 4 900 €/mois Appartement 4 pièces 95,89 m² 2 chambres Paris 15ème (75) Contacter Description"
Appartement,2 850 000 €,17 884 €/m²,"159,36 m²",7 pièces,Paris 7ème (75),"DANIEL FEAU RUE DU BAC Exclusivité 3D -24h 1 | 1/26 2 850 000 € 17 884 €/m² À partir de 12 697 €/mois Appartement 7 pièces 159,36 m² 4 chambres Paris 7ème (75) …"
Appartement neuf,299 000 €,8 768 €/m²,"34,1 m²",1 pièces,Paris 18ème (75),"GIBOIRE IMMOBILIER NEUF 1/6 299 000 € 8 768 €/m² À partir de 1 332 €/mois Appartement neuf 1 pièce 34,1 m² Paris 18ème (75) Voir sur Figaro Immoneuf Contacter D…"
Appartement,510 000 €,8 361 €/m²,61 m²,3 pièces,Paris 12ème (75),RE/MAX AVANTAGE -24h 1/7 510 000 € 8 361 €/m² À partir de 2 272 €/mois Appartement 3 pièces 61 m² 2 chambres Paris 12ème (75) Contacter Description
Appartement,653 000 €,11 068 €/m²,59 m²,2 pièces,Paris 13ème (75),BONLOGIS IMMOBILIER -24h 1/5 653 000 € 11 068 €/m² À partir de 2 909 €/mois Appartement 2 pièces 59 m² 1 chambre Paris 13ème (75) Contacter Description
Appartement,727 000 €,11 185 €/m²,65 m²,3 pièces,Paris 13ème (75),BONLOGIS IMMOBILIER -24h 1/5 727 000 € 11 185 €/m² À partir de 3 239 €/mois Appartement 3 pièces 65 m² 2 chambres Paris 13ème (75) Contacter Description
Appartement,760 500 €,10 563 €/m²,72 m²,3 pièces,Paris 13ème (75),BONLOGIS IMMOBILIER -24h 1/6 760 500 € 10 563 €/m² À partir de 3 388 €/mois Appartement 3 pièces 72 m² 2 chambres Paris 13ème (75) Contacter Description
Appartement,757 000 €,9 012 €/m²,84 m²,4 pièces,Paris 18ème (75),BONLOGIS IMMOBILIER -24h 1/6 757 000 € 9 012 €/m² À partir de 3 372 €/mois Appartement 4 pièces 84 m² 3 chambres Paris 18ème (75) Contacter Description
Appartement,1 750 000 €,12 500 €/m²,140 m²,5 pièces,Paris 20ème (75),BONLOGIS IMMOBILIER -24h 1/5 1 750 000 € 12 500 €/m² À partir de 7 796 €/mois Appartement 5 pièces 140 m² 4 chambres Paris 20ème (75) Contacter Description
Appartement,3 195 000 €,21 588 €/m²,148 m²,5 pièces,Paris 18ème (75),BONLOGIS IMMOBILIER -24h 1/6 3 195 000 € 21 588 €/m² À partir de 14 234 €/mois Appartement 5 pièces 148 m² 4 chambres Paris 18ème (75) Contacter Description
Appartement,2 800 000 €,14 286 €/m²,196 m²,4 pièces,Paris 14ème (75),BONLOGIS IMMOBILIER -24h 1/5 2 800 000 € 14 286 €/m² À partir de 12 474 €/mois Appartement 4 pièces 196 m² 3 chambres Paris 14ème (75) Contacter Description
Appartement,760 500 €,10 563 €/m²,72 m²,3 pièces,Paris 13ème (75),BONLOGIS IMMOBILIER -24h 1/5 760 500 € 10 563 €/m² À partir de 3 388 €/mois Appartement 3 pièces 72 m² 2 chambres Paris 13ème (75) Contacter Description
Appartement,585 000 €,17 206 €/m²,34 m²,1 pièces,Paris 6ème (75),DAUPHINE RIVE GAUCHE VAVIN Exclusivité 3D -24h 1 | 1/6 585 000 € 17 206 €/m² À partir de 2 606 €/mois Appartement 1 pièce 34 m² Paris 6ème (75) Voir sur Proprié…
Appartement neuf,623 000 €,8 605 €/m²,"72,4 m²",3 pièces,Paris 18ème (75),"GIBOIRE IMMOBILIER NEUF 1/6 623 000 € 8 605 €/m² À partir de 2 775 €/mois Appartement neuf 3 pièces 72,4 m² Paris 18ème (75) Voir sur Figaro Immoneuf Contacter …"
Appartement,1 995 000 €,15 960 €/m²,125 m²,5 pièces,Paris 15ème (75),BONLOGIS IMMOBILIER -24h 1/6 1 995 000 € 15 960 €/m² À partir de 8 888 €/mois Appartement 5 pièces 125 m² 4 chambres Paris 15ème (75) ... Contacter Description
Appartement,773 000 €,11 203 €/m²,69 m²,3 pièces,Paris 13ème (75),BONLOGIS IMMOBILIER -24h 1/5 773 000 € 11 203 €/m² À partir de 3 443 €/mois Appartement 3 pièces 69 m² 2 chambres Paris 13ème (75) Contacter Description
Appartement,1 250 000 €,11 364 €/m²,110 m²,5 pièces,Paris 13ème (75),BONLOGIS IMMOBILIER -24h 1/6 1 250 000 € 11 364 €/m² À partir de 5 569 €/mois Appartement 5 pièces 110 m² 4 chambres Paris 13ème (75) Contacter Description
Appartement,258 000 €,17 599 €/m²,"14,66 m²",1 pièces,Paris 7ème (75),"DAUPHINE RIVE GAUCHE VAVIN -24h 1/11 258 000 € 17 599 €/m² À partir de 1 149 €/mois Appartement 1 pièce 14,66 m² Paris 7ème (75) Voir sur Propriétés Le Figaro C…"
Appartement neuf,299 000 €,8 768 €/m²,"34,1 m²",1 pièces,Paris 18ème (75),"GIBOIRE IMMOBILIER NEUF 1/6 299 000 € 8 768 €/m² À partir de 1 332 €/mois Appartement neuf 1 pièce 34,1 m² Paris 18ème (75) Voir sur Figaro Immoneuf Contacter D…"
Appartement,960 000 €,10 909 €/m²,88 m²,4 pièces,Paris 13ème (75),BONLOGIS IMMOBILIER -24h 1/5 960 000 € 10 909 €/m² À partir de 4 277 €/mois Appartement 4 pièces 88 m² 3 chambres Paris 13ème (75) Contacter Description
Duplex,1 250 000 €,12 136 €/m²,103 m²,4 pièces,Paris 20ème (75),BONLOGIS IMMOBILIER -24h 1/5 1 250 000 € 12 136 €/m² À partir de 5 569 €/mois Duplex 4 pièces 103 m² 3 chambres Paris 20ème (75) Contacter Description
Appartement,3 495 000 €,22 077 €/m²,"158,31 m²",5 pièces,Paris 18ème (75),"KLENOVA -24h 1/8 3 495 000 € 22 077 €/m² À partir de 15 571 €/mois Appartement 5 pièces 158,31 m² 4 chambres Paris 18ème (75) Contacter Description"
Appartement,900 000 €,16 178 €/m²,"55,63 m²",3 pièces,Paris 6ème (75),"Vaneau Bac Saint-Germain Exclusivité -24h 1/14 900 000 € 16 178 €/m² À partir de 4 009 €/mois Appartement 3 pièces 55,63 m² 2 chambres Paris 6ème (75) Voir sur …"
Appartement neuf,445 000 €,8 990 €/m²,"49,5 m²",2 pièces,Paris 18ème (75),"GIBOIRE IMMOBILIER NEUF 1/6 445 000 € 8 990 €/m² À partir de 1 982 €/mois Appartement neuf 2 pièces 49,5 m² Paris 18ème (75) Voir sur Figaro Immoneuf Contacter …"
Appartement,2 500 000 €,16 834 €/m²,"148,51 m²",4 pièces,Paris 19ème (75),"KLENOVA -24h 1/9 2 500 000 € 16 834 €/m² À partir de 11 138 €/mois Appartement 4 pièces 148,51 m² 3 chambres Paris 19ème (75) Contacter Description"
Appartement,2 800 200 €,14 305 €/m²,"195,75 m²",4 pièces,Paris 14ème (75),"KLENOVA -24h 1/6 2 800 200 € 14 305 €/m² À partir de 12 475 €/mois Appartement 4 pièces 195,75 m² 3 chambres Paris 14ème (75) Contacter Description"
Appartement,1 250 000 €,12 019 €/m²,104 m²,4 pièces,Paris 20ème (75),BONLOGIS IMMOBILIER -24h 1/5 1 250 000 € 12 019 €/m² À partir de 5 569 €/mois Appartement 4 pièces 104 m² 3 chambres Paris 20ème (75) Contacter Description
Appartement,1 060 000 €,13 588 €/m²,"78,01 m²",3 pièces,Paris 16ème (75),"Vaneau Auteuil-Passy -24h 1/14 1 060 000 € 13 588 €/m² À partir de 4 722 €/mois Appartement 3 pièces 78,01 m² 2 chambres Paris 16ème (75) Voir sur Propriétés Le…"
Appartement neuf,639 000 €,7 671 €/m²,"83,3 m²",4 pièces,Paris 18ème (75),"GIBOIRE IMMOBILIER NEUF 1/6 639 000 € 7 671 €/m² À partir de 2 846 €/mois Appartement neuf 4 pièces 83,3 m² Paris 18ème (75) Voir sur Figaro Immoneuf Contacter …"
Appartement,8 500 000 €,16 604 €/m²,"511,93 m²",10 pièces,Paris 16ème (75),"Polo Properties 1/13 8 500 000 € 16 604 €/m² À partir de 37 870 €/mois Appartement 10 pièces 511,93 m² 4 chambres Paris 16ème (75) Voir sur Propriétés Le Figaro…"
Appartement,1 550 000 €,12 205 €/m²,127 m²,5 pièces,Paris 20ème (75),BONLOGIS IMMOBILIER -24h 1/6 1 550 000 € 12 205 €/m² À partir de 6 905 €/mois Appartement 5 pièces 127 m² 4 chambres Paris 20ème (75) Contacter Description
Appartement,895 000 €,12 095 €/m²,74 m²,2 pièces,Paris 2ème (75),Agences de France -24h 1/12 895 000 € 12 095 €/m² À partir de 3 987 €/mois Appartement 2 pièces 74 m² 1 chambre Paris 2ème (75) ... Contacter Description
Appartement,430 000 €,11 625 €/m²,"36,99 m²",3 pièces,Paris 16ème (75),"Vaneau Auteuil-Passy -24h 1/7 430 000 € 11 625 €/m² À partir de 1 915 €/mois Appartement 3 pièces 36,99 m² 1 chambre Paris 16ème (75) Voir sur Propriétés Le Fig…"
Appartement neuf,1 660 000 €,14 435 €/m²,115 m²,5 pièces,Paris 13ème (75),COGEDIM Envie de voir plus de photos ? Demander plus de photos 1 660 000 € 14 435 €/m² À partir de 7 395 €/mois Appartement neuf 5 pièces 115 m² Paris 13ème (75…
Appartement,279 000 €,7 750 €/m²,36 m²,2 pièces,Paris 18ème (75),Un Toit et Vous Exclusivité 3D 1 | 1/10 Coup de cœur du secteur 279 000 € 7 750 €/m² À partir de 1 243 €/mois Appartement 2 pièces 36 m² 1 chambre Paris 18ème (…
