type,prix,prix_m2,surface,nb_pieces,localisation,details
Appartement,798 000 €,11 083 €/m²,72 m²,3 pièces,Paris 13ème (75),LA CLE DU BONHEUR -24h 1/6 798 000 € 11 083 €/m² À partir de 3 555 €/mois Appartement 3 pièces 72 m² Paris 13ème (75) Contacter Description
Appartement,1 470 000 €,14 700 €/m²,100 m²,4 pièces,Paris 12ème (75),LA CLE DU BONHEUR -24h 1/5 1 470 000 € 14 700 €/m² À partir de 6 549 €/mois Appartement 4 pièces 100 m² Paris 12ème (75) ... Contacter Description
Appartement,690 000 €,16 429 €/m²,42 m²,2 pièces,Paris 4ème (75),VILLARET -24h 1/13 690 000 € 16 429 €/m² À partir de 3 074 €/mois Appartement 2 pièces 42 m² 1 chambre Paris 4ème (75) Voir sur Propriétés Le Figaro Contacter D…
Appartement neuf,306 200 €,9 375 €/m²,"32,66 m²",1 pièces,Paris 17ème (75),"NEXITY 1/3 306 200 € 9 375 €/m² À partir de 1 364 €/mois Appartement neuf 1 pièce 32,66 m² Paris 17ème (75) Voir sur Figaro Immoneuf Contacter Description"
Appartement,625 000 €,11 111 €/m²,"56,25 m²",3 pièces,Paris 13ème (75),"LA CLE DU BONHEUR -24h 1/5 Bien le moins consommateur d'énergie 625 000 € 11 111 €/m² À partir de 2 784 €/mois Appartement 3 pièces 56,25 m² Paris 13ème (75) ..…"
Appartement,2 250 000 €,21 635 €/m²,104 m²,4 pièces,Paris 15ème (75),LA CLE DU BONHEUR -24h 1/5 2 250 000 € 21 635 €/m² À partir de 10 024 €/mois Appartement 4 pièces 104 m² Paris 15ème (75) ... Contacter Description
Appartement,310 000 €,13 901 €/m²,"22,3 m²",2 pièces,Paris 3ème (75),"LES ENFANTS ROUGES MARAIS Exclusivité -24h 1/8 310 000 € 13 901 €/m² À partir de 1 381 €/mois Appartement 2 pièces 22,3 m² 1 chambre Paris 3ème (75) ... Contact…"
Appartement,795 000 €,13 235 €/m²,"60,07 m²",3 pièces,Paris 3ème (75),"VILLARET -24h 1/13 795 000 € 13 235 €/m² À partir de 3 541 €/mois Appartement 3 pièces 60,07 m² 2 chambres Paris 3ème (75) Voir sur Propriétés Le Figaro Contact…"
Appartement neuf,295 900 €,8 602 €/m²,"34,4 m²",1 pièces,Paris 17ème (75),"NEXITY 1/3 295 900 € 8 602 €/m² À partir de 1 318 €/mois Appartement neuf 1 pièce 34,4 m² Paris 17ème (75) Voir sur Figaro Immoneuf Contacter Description"
Locaux professionnels,2 185 000 €,13 270 €/m²,"164,66 m²",non disponible,Paris 3ème (75),"LES ENFANTS ROUGES MARAIS -24h 1/13 2 185 000 € 13 270 €/m² À partir de 9 734 €/mois Locaux professionnels 164,66 m² Paris 3ème (75) ... Contacter Description"
Appartement,630 000 €,15 358 €/m²,"41,02 m²",2 pièces,Paris 3ème (75),"LES ENFANTS ROUGES MARAIS Exclusivité -24h 1/11 630 000 € 15 358 €/m² À partir de 2 806 €/mois Appartement 2 pièces 41,02 m² 1 chambre Paris 3ème (75) Contacter…"
Appartement,1 270 000 €,16 282 €/m²,78 m²,3 pièces,Paris 15ème (75),EON IMMOBILIER Exclusivité -24h 1/10 1 270 000 € 16 282 €/m² À partir de 5 658 €/mois Appartement 3 pièces 78 m² 2 chambres Paris 15ème (75) Contacter Descripti…
Appartement,648 000 €,12 919 €/m²,"50,16 m²",2 pièces,Paris 4ème (75),"VILLARET -24h 1/11 648 000 € 12 919 €/m² À partir de 2 887 €/mois Appartement 2 pièces 50,16 m² 1 chambre Paris 4ème (75) Voir sur Propriétés Le Figaro Contacte…"
Appartement neuf,314 900 €,9 143 €/m²,"34,44 m²",1 pièces,Paris 17ème (75),"NEXITY 1/3 314 900 € 9 143 €/m² À partir de 1 402 €/mois Appartement neuf 1 pièce 34,44 m² Paris 17ème (75) Voir sur Figaro Immoneuf Contacter Description"
Appartement,590 000 €,19 225 €/m²,"30,69 m²",2 pièces,Paris 7ème (75),"DANIEL FEAU RUE DU BAC Exclusivité 3D -24h 1 | 1/8 590 000 € 19 225 €/m² À partir de 2 628 €/mois Appartement 2 pièces 30,69 m² 1 chambre Paris 7ème (75) Contac…"
Appartement,390 000 €,9 750 €/m²,40 m²,2 pièces,Paris 14ème (75),DAUPHINE RIVE GAUCHE VAVIN 3D -24h 1 | 1/10 390 000 € 9 750 €/m² À partir de 1 737 €/mois Appartement 2 pièces 40 m² 1 chambre Paris 14ème (75) Contacter Descri…
Appartement,3 990 000 €,19 894 €/m²,"200,56 m²",6 pièces,Paris 7ème (75),"DAUPHINE RIVE GAUCHE VAVIN -24h 1/12 3 990 000 € 19 894 €/m² À partir de 17 776 €/mois Appartement 6 pièces 200,56 m² 4 chambres Paris 7ème (75) Contacter Descr…"
Appartement,435 000 €,16 534 €/m²,"26,31 m²",2 pièces,Paris 6ème (75),"Villaret Immobilier 6ème 3D -24h 1 | 1/18 435 000 € 16 534 €/m² À partir de 1 938 €/mois Appartement 2 pièces 26,31 m² 1 chambre Paris 6ème (75) Voir sur Propri…"
Appartement neuf,1 045 000 €,13 145 €/m²,"79,5 m²",3 pièces,Paris 20ème (75),"DEMATHIEU BARD IMMOBILIER 1/8 1 045 000 € 13 145 €/m² À partir de 4 655 €/mois Appartement neuf 3 pièces 79,5 m² Paris 20ème (75) Voir sur Figaro Immoneuf Conta…"
Appartement,690 000 €,9 490 €/m²,"72,71 m²",3 pièces,Paris 10ème (75),"DANIEL FEAU 9ème 1/7 690 000 € 9 490 €/m² À partir de 3 074 €/mois Appartement 3 pièces 72,71 m² 2 chambres Paris 10ème (75) Voir sur Propriétés Le Figaro Conta…"
Appartement,1 370 000 €,16 106 €/m²,"85,06 m²",3 pièces,Paris 6ème (75),"DAUPHINE RIVE GAUCHE VAVIN -24h 1/15 1 370 000 € 16 106 €/m² À partir de 6 103 €/mois Appartement 3 pièces 85,06 m² 2 chambres Paris 6ème (75) Contacter Descrip…"
Appartement,721 000 €,12 736 €/m²,"56,61 m²",2 pièces,Paris 16ème (75),"DAUPHINE RIVE GAUCHE VAVIN Exclusivité -24h 1/12 721 000 € 12 736 €/m² À partir de 3 212 €/mois Appartement 2 pièces 56,61 m² 1 chambre Paris 16ème (75) Contact…"
Appartement,1 290 000 €,18 677 €/m²,"69,07 m²",3 pièces,Paris 5ème (75),"1809 immobilier parisien Exclusivité -24h 1/11 1 290 000 € 18 677 €/m² À partir de 5 747 €/mois Appartement 3 pièces 69,07 m² 2 chambres Paris 5ème (75) Voir su…"
Appartement neuf,1 380 000 €,13 181 €/m²,"104,7 m²",4 pièces,Paris 20ème (75),"DEMATHIEU BARD IMMOBILIER 1/8 1 380 000 € 13 181 €/m² À partir de 6 148 €/mois Appartement neuf 4 pièces 104,7 m² Paris 20ème (75) Voir sur Figaro Immoneuf Cont…"
Appartement,551 000 €,10 674 €/m²,"51,62 m²",3 pièces,Paris 14ème (75),"Laforêt PARIS 14 ALESIA Exclusivité -24h 1/10 551 000 € 10 674 €/m² À partir de 2 454 €/mois Appartement 3 pièces 51,62 m² 1 chambre Paris 14ème (75) Contacter …"
Appartement,241 500 €,9 382 €/m²,"25,74 m²",2 pièces,Paris 14ème (75),"DAUPHINE RIVE GAUCHE Exclusivité -24h 1/8 Meilleur rendement locatif 241 500 € 9 382 €/m² À partir de 1 075 €/mois Appartement 2 pièces 25,74 m² Paris 14ème (75…"
Appartement,165 000 €,17 742 €/m²,"9,3 m²",1 pièces,Paris 6ème (75),"DAUPHINE RIVE GAUCHE -24h 1/5 165 000 € 17 742 €/m² À partir de 735 €/mois Appartement 1 pièce 9,3 m² Paris 6ème (75) Contacter Description"
Appartement,1 800 000 €,18 000 €/m²,100 m²,4 pièces,Paris 15ème (75),LA CLE DU BONHEUR -24h 1/5 Bien le moins consommateur d'énergie 1 800 000 € 18 000 €/m² À partir de 8 019 €/mois Appartement 4 pièces 100 m² Paris 15ème (75) Co…
Appartement,870 000 €,13 385 €/m²,65 m²,3 pièces,Paris 1er (75),DAUPHINE RIVE GAUCHE 3D -24h 1 | 1/15 870 000 € 13 385 €/m² À partir de 3 876 €/mois Appartement 3 pièces 65 m² 2 chambres Paris 1er (75) ... Contacter Descript…
Appartement,309 750 €,15 885 €/m²,"19,5 m²",1 pièces,Paris 6ème (75),"DAUPHINE RIVE GAUCHE 3D -24h 1 | 1/7 309 750 € 15 885 €/m² À partir de 1 380 €/mois Appartement 1 pièce 19,5 m² Paris 6ème (75) Contacter Description"
Appartement,110 000 €,13 350 €/m²,"8,24 m²",1 pièces,Paris 6ème (75),"DAUPHINE RIVE GAUCHE 3D -24h 1 | 1/7 110 000 € 13 350 €/m² À partir de 490 €/mois Appartement 1 pièce 8,24 m² Paris 6ème (75) ... Contacter Description"
Duplex,936 000 €,13 371 €/m²,70 m²,2 pièces,Paris 17ème (75),ARMAILLE IMMOBILIER 1/7 936 000 € 13 371 €/m² À partir de 4 170 €/mois Duplex 2 pièces 70 m² 1 chambre Paris 17ème (75) Contacter Description
Appartement,519 000 €,12 975 €/m²,40 m²,2 pièces,Paris 17ème (75),ARMAILLE IMMOBILIER 1/10 519 000 € 12 975 €/m² À partir de 2 312 €/mois Appartement 2 pièces 40 m² 1 chambre Paris 17ème (75) Contacter Description
Appartement,3 800 000 €,16 170 €/m²,235 m²,6 pièces,Paris 16ème (75),Saint Ferdinand Pompe -24h 1/12 3 800 000 € 16 170 €/m² À partir de 16 930 €/mois Appartement 6 pièces 235 m² 4 chambres Paris 16ème (75) Voir sur Propriétés Le…
Appartement neuf,1 380 000 €,13 181 €/m²,"104,7 m²",4 pièces,Paris 20ème (75),"DEMATHIEU BARD IMMOBILIER 1/8 1 380 000 € 13 181 €/m² À partir de 6 148 €/mois Appartement neuf 4 pièces 104,7 m² Paris 20ème (75) Voir sur Figaro Immoneuf Cont…"
Appartement,445 000 €,13 088 €/m²,34 m²,2 pièces,Paris 18ème (75),ARMAILLE IMMOBILIER Exclusivité 1/9 445 000 € 13 088 €/m² À partir de 1 982 €/mois Appartement 2 pièces 34 m² 1 chambre Paris 18ème (75) Contacter Description
Appartement,110 000 €,12 222 €/m²,9 m²,1 pièces,Paris 17ème (75),ARMAILLE IMMOBILIER 1/6 110 000 € 12 222 €/m² À partir de 490 €/mois Appartement 1 pièce 9 m² Paris 17ème (75) Contacter Description
Appartement,2 099 000 €,10 495 €/m²,200 m²,7 pièces,Paris 17ème (75),ARMAILLE IMMOBILIER 1/18 2 099 000 € 10 495 €/m² À partir de 9 351 €/mois Appartement 7 pièces 200 m² 5 chambres Paris 17ème (75) Contacter Description
Appartement,1 400 000 €,13 692 €/m²,"102,25 m²",4 pièces,Paris 17ème (75),"JUNOT MONCEAU Exclusivité 3D -24h 1 | 1/28 1 400 000 € 13 692 €/m² À partir de 6 237 €/mois Appartement 4 pièces 102,25 m² 3 chambres Paris 17ème (75) Voir sur …"
Maison neuve,1 300 000 €,13 238 €/m²,"98,2 m²",4 pièces,Paris 20ème (75),"DEMATHIEU BARD IMMOBILIER 1/8 1 300 000 € 13 238 €/m² À partir de 5 791 €/mois Maison neuve 4 pièces 98,2 m² Paris 20ème (75) Voir sur Figaro Immoneuf Contacter…"
Appartement,1 854 000 €,12 612 €/m²,147 m²,5 pièces,Paris 16ème (75),ARMAILLE IMMOBILIER 1/9 1 854 000 € 12 612 €/m² À partir de 8 260 €/mois Appartement 5 pièces 147 m² 3 chambres Paris 16ème (75) Contacter Description
Appartement,308 700 €,14 032 €/m²,22 m²,1 pièces,Paris 17ème (75),ARMAILLE IMMOBILIER Exclusivité 1/7 308 700 € 14 032 €/m² À partir de 1 375 €/mois Appartement 1 pièce 22 m² Paris 17ème (75) Contacter Description
Appartement,780 000 €,11 143 €/m²,70 m²,3 pièces,Paris 17ème (75),ARMAILLE IMMOBILIER 1/11 780 000 € 11 143 €/m² À partir de 3 475 €/mois Appartement 3 pièces 70 m² 2 chambres Paris 17ème (75) Contacter Description
Appartement,828 000 €,9 000 €/m²,92 m²,4 pièces,Paris 15ème (75),Vaneau 15e Saint-Charles Exclusivité -24h 1/18 828 000 € 9 000 €/m² À partir de 3 689 €/mois Appartement 4 pièces 92 m² 3 chambres Paris 15ème (75) Voir sur Pro…
Appartement neuf,1 290 000 €,16 669 €/m²,"77,39 m²",4 pièces,Paris 19ème (75),"GROUPE PATRIGNANI AEDIFICAT -24h 1/5 1 290 000 € 16 669 €/m² À partir de 5 747 €/mois Appartement neuf 4 pièces 77,39 m² Paris 19ème (75) Voir sur Figaro Immone…"
Appartement,1 260 000 €,16 915 €/m²,"74,49 m²",3 pièces,Paris 7ème (75),"ARMAILLE IMMOBILIER 1/14 Coup de cœur du secteur 1 260 000 € 16 915 €/m² À partir de 5 613 €/mois Appartement 3 pièces 74,49 m² 2 chambres Paris 7ème (75) Conta…"
Appartement,799 000 €,10 653 €/m²,75 m²,3 pièces,Paris 17ème (75),ARMAILLE IMMOBILIER Exclusivité 1/9 799 000 € 10 653 €/m² À partir de 3 559 €/mois Appartement 3 pièces 75 m² 1 chambre Paris 17ème (75) Contacter Description
Appartement,515 000 €,12 561 €/m²,41 m²,3 pièces,Paris 17ème (75),ARMAILLE IMMOBILIER 1/9 515 000 € 12 561 €/m² À partir de 2 294 €/mois Appartement 3 pièces 41 m² 2 chambres Paris 17ème (75) Contacter Description
Appartement,735 000 €,14 429 €/m²,"50,94 m²",2 pièces,Paris 2ème (75),"JUNOT MARAIS Exclusivité 3D -24h 1 | 1/13 735 000 € 14 429 €/m² À partir de 3 274 €/mois Appartement 2 pièces 50,94 m² 1 chambre Paris 2ème (75) Voir sur Propri…"
