type,prix,surface,nb_pieces,localisation,details
Appartement,1 450 000 €,120 m²,4 pièces,Paris 16 (75016),Ascenseur • 2 caves • 1 salle de bain • 1 salle d'eau
Appartement,135 000 €,15 m²,1 pièces,Paris 17 (75017),1 cave • 1 salle de bain
Appartement,444 000 €,46 m²,2 pièces,Paris 15 (75015),1 cave • 1 salle d'eau
Appartement,583 000 €,63 m²,2 pièces,Paris 16 (75016),Ascenseur • 1 cave • 1 salle de bain • Parking
Appartement,349 800 €,42 m²,2 pièces,Paris 12 (75012),1 cave • 1 salle d'eau
Appartement,469 000 €,61 m²,3 pièces,Paris 20 (75020),Ascenseur • 1 cave • 1 salle de bain • Balcon
Appartement,299 990 €,28 m²,1 pièces,Paris 11 (75011),1 salle d'eau
Appartement,278 000 €,23 m²,1 pièces,Paris 20 (75020),
Appartement,444 000 €,36 m²,2 pièces,Paris 11 (75011),Cheminée • 1 cave • 1 salle d'eau
Appartement,1 100 000 €,72 m²,3 pièces,Paris 04 (75004),Ascenseur • 1 cave • 1 salle de bain
Appartement,620 000 €,67 m²,3 pièces,Paris 19 (75019),Ascenseur • 1 cave • 1 salle de bain • Balcon
Appartement,595 000 €,74 m²,4 pièces,Paris 20 (75020),2 caves • 1 salle de bain
Appartement,520 000 €,90 m²,4 pièces,Paris 19 (75019),Ascenseur • 1 cave • 1 salle de bain • 1 salle d'eau
Appartement,160 000 €,18 m²,1 pièces,Paris 15 (75015),1 salle d'eau
Appartement,779 000 €,81 m²,4 pièces,Paris 14 (75014),Ascenseur • 1 cave • 1 salle de bain
Appartement,1 545 000 €,125 m²,5 pièces,Paris 04 (75004),Cheminée • Ascenseur • 1 cave • 2 salles d'eau
Appartement,687 000 €,50 m²,2 pièces,Paris 03 (75003),1 cave
Appartement,449 000 €,35 m²,2 pièces,Paris 03 (75003),Ascenseur • 1 salle de bain
Appartement,579 000 €,53 m²,2 pièces,Paris 11 (75011),1 cave • 1 salle de bain
Appartement,440 000 €,46 m²,3 pièces,Paris 10 (75010),1 salle d'eau
Appartement,579 000 €,53 m²,2 pièces,Paris 12 (75012),1 cave • 1 salle de bain
Appartement,548 000 €,62 m²,3 pièces,Paris 16 (75016),1 cave • 1 salle de bain
Appartement,600 000 €,67 m²,2 pièces,Paris 16 (75016),Ascenseur • 1 cave • 1 salle de bain • Balcon
Appartement,183 000 €,19 m²,1 pièces,Paris 10 (75010),1 salle d'eau
Appartement,193 000 €,16 m²,1 pièces,Paris 04 (75004),1 salle d'eau
Appartement,590 000 €,79 m²,3 pièces,Paris 20 (75020),Ascenseur • 1 cave • 1 salle de bain
Appartement,210 000 €,21 m²,1 pièces,Paris 14 (75014),Cheminée
Appartement,210 000 €,21 m²,2 pièces,Paris 14 (75014),Cheminée
Appartement,1 730 000 €,137 m²,6 pièces,Paris 07 (75007),Cheminée • Ascenseur • 1 cave • 1 salle de bain
Appartement,450 000 €,45 m²,2 pièces,Paris 15 (75015),Ascenseur • 1 cave • 1 salle de bain
Appartement,117 700 €,10 m²,1 pièces,Paris 05 (75005),
Appartement,445 000 €,33 m²,2 pièces,Paris 16 (75016),1 salle d'eau
Appartement,1 090 000 €,94 m²,4 pièces,Paris 09 (75009),Cheminée • 1 cave • 1 salle de bain
Appartement,698 500 €,100 m²,5 pièces,Paris 12 (75012),Ascenseur • Sous-sol • 1 cave • 1 salle de bain
Appartement,698 500 €,100 m²,5 pièces,Paris 12 (75012),Ascenseur • Sous-sol • 1 cave • 1 salle de bain
Appartement,929 000 €,104 m²,5 pièces,Paris 20 (75020),Ascenseur • 1 cave • 1 salle de bain • 1 salle d'eau
Appartement,849 000 €,84 m²,4 pièces,Paris 12 (75012),Ascenseur • 1 cave • 1 salle de bain
Appartement,786 000 €,72 m²,3 pièces,Paris 12 (75012),Ascenseur • 1 salle de bain
Appartement,679 000 €,60 m²,2 pièces,Paris 04 (75004),Ascenseur • 1 cave • 1 salle de bain
Appartement,385 000 €,62 m²,2 pièces,Paris 20 (75020),1 salle d'eau
Appartement,344 000 €,33 m²,2 pièces,Paris 12 (75012),Ascenseur • 1 cave • 1 salle d'eau
Appartement,329 000 €,34 m²,2 pièces,Paris 11 (75011),Ascenseur • 1 salle d'eau
Appartement,149 000 €,14 m²,1 pièces,Paris 12 (75012),Ascenseur • 1 cave • 1 salle d'eau
Appartement,884 000 €,93 m²,4 pièces,Paris 15 (75015),Ascenseur • 1 cave • 1 salle d'eau • Balcon
Appartement,585 000 €,75 m²,3 pièces,Paris 14 (75014),Accès handicapé • Ascenseur • 1 cave • 1 salle de bain
Appartement,570 000 €,63 m²,3 pièces,Paris 14 (75014),Cheminée • 1 cave • 1 salle d'eau
Appartement,135 000 €,16 m²,1 pièces,Paris 18 (75018),
Appartement,528 000 €,53 m²,2 pièces,Paris 11 (75011),Ascenseur • Sous-sol • 1 cave • 1 salle d'eau
Appartement,617 000 €,60 m²,4 pièces,Paris 15 (75015),Cheminée • Ascenseur • 1 cave • 1 salle d'eau
Appartement,895 000 €,69 m²,3 pièces,Paris 15 (75015),Terrasse • 1 cave • 1 salle d'eau • Parking
