type,prix,surface,nb_pieces,localisation,details
Appartement,845 000 €,84 m²,4 pièces,Paris (75011),Ascenseur • 1 cave • 1 salle d'eau
Appartement,533 000 €,56 m²,4 pièces,Paris 05 (75005),2 caves • 1 salle d'eau
Appartement,392 000 €,38 m²,2 pièces,Paris 02 (75002),2 salles d'eau
Appartement,699 000 €,89 m²,4 pièces,Paris 18 (75018),Ascenseur • 1 cave • 1 salle de bain • 1 salle d'eau
Appartement,533 000 €,56 m²,4 pièces,Paris 13 (75013),Cheminée • Accès handicapé • 2 caves • 1 salle d'eau
Appartement,155 000 €,15 m²,1 pièces,Paris 17 (75017),
Appartement,250 000 €,20 m²,1 pièces,Paris 08 (75008),1 salle d'eau
Appartement,800 000 €,69 m²,3 pièces,Paris 17 (75017),Cheminée • 1 salle de bain
Appartement,1 199 000 €,105 m²,3 pièces,Paris 07 (75007),
Appartement,2 470 000 €,122 m²,5 pièces,Paris 01 (75001),Ascenseur • 1 cave • 2 salles de bain
Appartement,480 000 €,44 m²,2 pièces,Paris 15 (75015),Ascenseur • Sous-sol • 1 cave • 1 salle d'eau
Appartement,635 000 €,55 m²,2 pièces,Paris (75116),Ascenseur • 1 cave • 1 salle de bain
Appartement,392 000 €,32 m²,1 pièces,Paris 16 (75116),Ascenseur • 1 salle de bain • Balcon
Appartement,770 000 €,73 m²,3 pièces,Paris 15 (75015),Ascenseur • 1 cave • Balcon
Appartement,330 000 €,36 m²,2 pièces,Paris 18 (75018),Ascenseur
Appartement,899 000 €,108 m²,5 pièces,Paris 20 (75020),Terrasse • Ascenseur • Sous-sol • 2 caves
Appartement,800 000 €,69 m²,3 pièces,Paris 17 (75017),Cheminée • 1 salle de bain
Appartement,1 100 000 €,76 m²,3 pièces,Paris 06 (75006),1 cave • 1 salle de bain • 1 salle d'eau
Appartement,119 000 €,13 m²,1 pièces,Paris 10 (75010),1 salle d'eau
Appartement,520 000 €,35 m²,1 pièces,Paris 08 (75008),Ascenseur • 1 salle d'eau
Appartement,72 000 €,9 m²,1 pièces,Paris 20 (75020),1 salle d'eau
Appartement,183 750 €,18 m²,1 pièces,Paris 14 (75014),1 cave • 1 salle d'eau
Appartement,441 000 €,37 m²,1 pièces,Paris 17 (75017),Ascenseur • 1 cave • 1 salle d'eau
Appartement,1 130 000 €,101 m²,5 pièces,Paris 16 (75016),Cheminée • Accès handicapé • Sous-sol • 1 cave
Appartement,2 155 000 €,156 m²,5 pièces,Paris 16 (75016),Ascenseur • Sous-sol • 1 cave • 1 salle de bain
Appartement,800 000 €,68 m²,3 pièces,Paris 17 (75017),1 cave • 1 salle de bain
Appartement,1 250 000 €,71 m²,3 pièces,Paris 06 (75006),Cheminée • Ascenseur • 1 cave • 1 salle de bain
Appartement,300 000 €,40 m²,2 pièces,Paris 17 (75017),Ascenseur • 1 cave • 1 salle d'eau
Appartement,329 000 €,60 m²,3 pièces,Paris 18 (75018),1 salle d'eau • Parking
Appartement,3 600 000 €,254 m²,non disponible,Paris 11 (75011),
Appartement,2 600 000 €,91 m²,3 pièces,Paris 06 (75006),
Appartement,639 000 €,82 m²,4 pièces,Paris 19 (75019),Accès handicapé • Ascenseur • Sous-sol • Garage
Appartement,640 500 €,49 m²,2 pièces,Paris 08 (75008),Ascenseur • 1 cave • 1 salle de bain
Appartement,560 000 €,51 m²,1 pièces,Paris (75002),Ascenseur • 1 cave • 1 salle de bain
Appartement,645 000 €,82 m²,3 pièces,Paris 09 (75009),1 salle d'eau
Appartement,599 000 €,50 m²,2 pièces,Paris 02 (75002),Ascenseur • 1 salle de bain
Appartement,1 970 000 €,182 m²,6 pièces,Paris 08 (75008),Ascenseur • 1 cave • 1 salle de bain • 1 salle d'eau
Appartement,338 600 €,30 m²,2 pièces,Paris 05 (75005),Accès handicapé • 1 salle d'eau
Appartement,794 000 €,83 m²,4 pièces,Paris 15 (75015),
Appartement,1 795 000 €,122 m²,5 pièces,Paris (75016),Accès handicapé • Ascenseur • Sous-sol • 1 cave
Appartement,899 000 €,130 m²,5 pièces,Paris 18 (75010),Cheminée • 1 salle de bain • 1 salle d'eau • Balcon
Appartement,162 000 €,15 m²,1 pièces,Paris 02 (75002),1 salle d'eau
Appartement,365 000 €,27 m²,1 pièces,Paris 04 (75004),Ascenseur • 1 cave • 1 salle d'eau • Balcon
Appartement,599 000 €,67 m²,3 pièces,Paris (75016),1 salle d'eau • Meublé
Appartement,160 000 €,25 m²,2 pièces,Paris 18 (75018),
Appartement,120 000 €,12 m²,1 pièces,Paris 10 (75010),Ascenseur • 1 salle d'eau
Appartement,336 000 €,36 m²,2 pièces,Paris 15 (75015),Ascenseur • 1 salle de bain
Appartement,302 000 €,29 m²,1 pièces,Paris 10 (75010),Ascenseur • 1 salle de bain
Appartement,230 000 €,24 m²,1 pièces,Paris 15 (75015),Ascenseur • 1 salle de bain
